Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Jordan McLaughlin,PG,44,6.4,0.8,1.8,0.418,0.4,0.9,0.425,0.4,0.9,0.41,0.525,0.1,0.2,0.857,0.2,0.6,0.7,0.9,0.5,0,0.3,0.3,2,2.3,12,0.6
Lindy Waters III,SG,40,7.1,0.8,2.2,0.375,0.7,2,0.342,0.2,0.2,0.667,0.528,0.1,0.1,0.667,0.1,0.7,0.7,0.5,0.2,0,0.2,0.6,2.4,2.3,7.5,0.4
Kelly Olynyk,C,42,8.6,1.1,2.3,0.49,0.3,1.1,0.255,0.8,1.2,0.714,0.552,0.6,0.9,0.711,0.6,1.2,1.8,1.2,0.4,0.1,0.6,0.9,3.2,13.4,13.5,1
Keldon Johnson,SF,82,23.3,5,9.7,0.519,1.2,3.3,0.363,3.8,6.4,0.601,0.582,1.9,2.4,0.794,1.7,3.7,5.4,1.4,0.6,0.1,0.9,2,13.2,17.5,17.3,6.4
Harrison Barnes,PF,77,25.8,3.4,7.5,0.456,1.8,4.6,0.388,1.6,2.8,0.567,0.577,1.3,1.6,0.829,0.8,2,2.8,1.9,0.6,0.2,0.8,1.1,9.9,19,11.8,4.8
Carter Bryant,PF,71,11.5,1.5,3.7,0.408,0.7,2.2,0.335,0.8,1.5,0.509,0.506,0.4,0.6,0.714,0.5,2,2.5,0.7,0.2,0.3,0.5,1.3,4.2,4.9,9.9,1.3
Stephon Castle,PG,68,30,5.7,12,0.471,1.2,3.6,0.332,4.5,8.4,0.531,0.521,4.1,5.6,0.734,1.4,3.9,5.3,7.4,1.1,0.3,3.2,3.3,16.7,9.6,17.4,5.8
De'Aaron Fox,PG,72,31,7.1,14.5,0.486,1.8,5.5,0.332,5.3,9.1,0.58,0.549,2.6,3.4,0.76,0.6,3.2,3.8,6.2,1.2,0.3,2.3,2.3,18.6,37.1,17.6,6.4
Dylan Harper,SG,69,22.6,4.8,9.5,0.505,0.9,2.6,0.343,3.9,6.9,0.565,0.551,1.3,1.7,0.756,0.8,2.6,3.4,3.9,0.8,0.3,1.4,2,11.8,12.4,16.2,4.2
Devin Vassell,SG,67,30.5,4.9,11.3,0.437,2.5,6.4,0.384,2.4,4.8,0.508,0.547,1.6,1.9,0.815,0.6,3.4,4,2.5,0.9,0.4,0.9,1.6,13.9,27,13,4.9
Julian Champagnie,SF,82,27.6,3.7,8.4,0.437,2.4,6.2,0.381,1.3,2.2,0.599,0.578,1.4,1.6,0.844,0.9,4.9,5.8,1.5,0.8,0.5,0.8,1.6,11.1,3,13.1,6.2
Luke Kornet,C,68,21,2.6,4,0.643,0,0,,2.6,4,0.643,0.643,1.4,1.7,0.825,2.7,3.4,6.1,1.9,0.5,1,0.4,1.8,6.5,11,17.9,6.9
Victor Wembanyama,C,64,29.2,8.6,16.9,0.512,1.9,5.5,0.349,6.7,11.4,0.59,0.569,5.8,7,0.827,2,9.5,11.5,3.1,1,3.1,2.4,2.4,25,13.4,29.9,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,65,21.1,3.8,8,0.482,1.2,3.4,0.36,2.6,4.6,0.574,0.556,1.7,2.2,0.787,1,3.2,4.1,2.5,0.7,0.5,1.1,1.6,10.7,13.3,15.2,4.5
