Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Trayce Jackson-Davis,C,36,11.4,1.7,2.8,0.588,0,0,0,1.6,2.8,0.584,0.593,0.8,1.4,0.558,1.3,1.8,3.1,0.9,0.4,0.5,0.5,1.1,4.2,2.2,16.6,1.4
Quinten Post,PF,67,17.3,2.9,6.6,0.44,1.4,4.1,0.336,1.5,2.4,0.617,0.546,0.5,0.6,0.791,1,3,4,1.4,0.4,0.5,0.8,1.9,7.7,2,13,1.9
Al Horford,C,45,21.5,3.1,7.2,0.426,1.6,4.6,0.361,1.4,2.6,0.538,0.54,0.5,0.6,0.846,1,3.9,4.9,2.6,0.7,1.1,0.9,1.1,8.3,5.7,14.7,2.1
Pat Spencer,PG,66,18.6,2.8,6.6,0.427,0.9,2.5,0.357,1.9,4.1,0.47,0.495,0.7,0.9,0.772,0.8,1.6,2.4,3.5,0.7,0.1,1.3,1.1,7.2,0.9,12.1,1.4
Buddy Hield,SG,44,17.5,3,6.8,0.433,1.5,4.4,0.344,1.4,2.4,0.6,0.545,0.6,0.8,0.794,0.6,1.9,2.5,1.5,0.8,0.2,1,1.3,8,9.2,12.8,1
Gary Payton II,SG,73,15.6,3.3,5.7,0.583,0.5,1.7,0.291,2.8,3.9,0.712,0.628,0.4,0.5,0.65,1.4,2.2,3.6,1.7,0.9,0.3,0.8,1.8,7.5,2.3,18.3,3.5
Gui Santos,PF,68,20.5,3.4,6.8,0.5,1.1,3.3,0.351,2.2,3.5,0.639,0.585,1.3,1.8,0.725,1.1,2.8,3.9,2.3,0.9,0.3,1.5,2.1,9.2,2.2,14.2,2.7
Draymond Green,PF,68,27.5,3,7.2,0.418,1.5,4.6,0.326,1.5,2.7,0.575,0.52,0.9,1.2,0.702,0.8,4.7,5.5,5.5,0.9,0.6,2.7,2.9,8.4,25.9,10.4,1.7
Moses Moody,SG,60,25.7,4.1,9.3,0.44,2.5,6.3,0.401,1.6,3,0.522,0.575,1.5,1.9,0.77,0.9,2.5,3.3,1.6,1,0.6,1,2,12.1,11.6,13.5,3.1
Brandin Podziemski,SG,82,28.5,4.8,10.6,0.455,1.9,5,0.371,2.9,5.5,0.531,0.543,2.3,2.9,0.797,0.9,4.2,5.1,3.7,1.1,0.2,1.6,1.7,13.8,3.7,15,5.1
Stephen Curry,PG,43,30.9,8.7,18.6,0.468,4.4,11.3,0.393,4.3,7.3,0.584,0.587,4.7,5.1,0.923,0.4,3.2,3.6,4.7,1.1,0.4,2.8,1.7,26.6,59.6,22.6,4.1
Will Richard,SG,69,20,2.3,5,0.468,1,3.1,0.335,1.3,1.9,0.679,0.571,0.7,0.8,0.852,1,1.5,2.5,1.3,1.2,0.1,0.8,1.9,6.4,1.3,11,2.5
Jimmy Butler,SF,38,31.1,6.3,12.2,0.519,0.8,2.2,0.376,5.5,9.9,0.552,0.554,6.5,7.6,0.864,2.3,3.2,5.6,4.9,1.4,0.2,1.6,1.2,20,54.1,23.5,5.7
De'Anthony Melton,PG,49,23,4.4,10.8,0.407,1.5,5,0.294,2.9,5.8,0.505,0.475,2,2.5,0.826,0.8,2.4,3.2,2.6,1.6,0.4,1.9,1.9,12.3,3.1,13.4,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG totals:,,43,17.2,3.1,6.8,0.456,0.8,2.5,0.32,2.3,4.3,0.535,0.534,1.4,2,0.7,1.1,2.1,3.2,1.8,1,0.5,1.2,1.5,8.3,2.7,15,1.1
