Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kevin Porter Jr.,PG,38,33.2,6.3,13.5,0.465,1.2,3.8,0.322,5.1,9.8,0.52,0.51,3.6,4.1,0.878,0.9,4.3,5.2,7.4,2.2,0.5,2.9,2.3,17.4
Ryan Rollins,PG,74,32.1,6.6,13.9,0.472,2.5,6.1,0.406,4.1,7.8,0.523,0.561,1.7,2.1,0.796,0.7,3.8,4.6,5.6,1.5,0.4,2.7,2.6,17.3
A.J. Green,SG,78,29.1,3.4,7.9,0.424,3,7.1,0.419,0.4,0.8,0.469,0.612,0.7,0.8,0.855,0.4,2.4,2.7,1.9,0.5,0.1,1,2.3,10.4
Giannis Antetokounmpo,PF,36,28.9,10.4,16.6,0.624,0.4,1.3,0.333,9.9,15.4,0.647,0.636,6.4,9.9,0.65,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6
Myles Turner,C,71,26.9,4,9.1,0.44,2.1,5.4,0.383,1.9,3.7,0.523,0.553,1.8,2.5,0.74,1.1,4.3,5.3,1.5,0.7,1.6,1.2,2.6,11.9
Ousmane Dieng,C,30,26.8,4.3,10.2,0.423,1.5,4.5,0.331,2.8,5.7,0.497,0.497,0.9,1.3,0.667,0.7,3.9,4.6,3.6,0.8,0.3,2.2,1.9,11
Kyle Kuzma,PF,69,26.2,4.9,10,0.492,1.2,3.5,0.347,3.7,6.5,0.569,0.552,2,2.7,0.726,0.8,3.7,4.5,2.7,0.7,0.4,1.7,1.9,13
Cormac Ryan,SG,11,24.6,4.8,9.3,0.52,2.5,5.4,0.458,2.4,3.9,0.605,0.652,2.2,2.4,0.923,0.7,1.8,2.5,1.7,1,0.3,1.5,2.5,14.3
Bobby Portis,PF,67,24.2,5.5,11.2,0.488,2,4.4,0.456,3.4,6.8,0.509,0.578,0.7,1,0.706,1.3,5.1,6.4,1.6,0.6,0.2,1,1.6,13.7
Taurean Prince,SF,26,23.5,3.3,7.3,0.45,2.3,5.4,0.436,1,2,0.49,0.61,0.2,0.2,1,0.2,3,3.1,1.8,0.6,0.2,1.2,1.8,9.2
Gary Trent Jr.,SG,65,21.2,2.8,7.3,0.387,1.9,5.3,0.36,0.9,2,0.458,0.517,0.6,0.8,0.769,0.1,0.9,1,1.2,0.5,0,0.6,1.3,8.1
Jericho Sims,C,67,19.7,2.2,2.8,0.784,0,0,,2.2,2.8,0.784,0.784,0.7,1.1,0.62,2.2,3.3,5.5,1.6,0.3,0.3,1.1,2.2,5
Cam Thomas,SG,18,16.6,3.7,8.5,0.431,0.8,2.8,0.275,2.9,5.7,0.51,0.477,2.6,3.4,0.754,0.1,1.4,1.6,1.9,0.3,0.1,1.4,0.7,10.7
Pete Nance,PF,47,15.7,2.1,4.1,0.515,1.1,2.5,0.42,1.1,1.6,0.667,0.644,0.1,0.2,0.364,0.6,2.1,2.7,1,0.3,0.3,0.6,1.3,5.4
Cole Anthony,PG,35,15.1,2.8,6.6,0.424,0.6,2.1,0.306,2.2,4.5,0.478,0.472,0.5,0.7,0.615,0.5,2,2.5,3.5,0.6,0.3,1.9,2.1,6.7
Gary Harris,SG,48,13.8,1,2.2,0.442,0.6,1.4,0.412,0.4,0.8,0.5,0.577,0.2,0.2,0.889,0.3,0.9,1.3,1.1,0.6,0.2,0.4,1.1,2.7
Amir Coffey,SG,30,8.8,0.9,1.8,0.473,0.2,0.8,0.28,0.6,1,0.633,0.536,0.4,0.5,0.867,0.2,0.7,0.9,0.4,0.1,0.1,0.1,0.5,2.4
Andre Jackson Jr.,SG,48,8.5,0.8,2.5,0.328,0.3,1.3,0.25,0.5,1.2,0.407,0.391,0.4,0.7,0.625,0.5,1,1.5,0.9,0.4,0.1,0.6,0.9,2.4
Thanasis Antetokounmpo,SF,34,4.4,0.4,0.9,0.469,0,0.1,0,0.4,0.8,0.536,0.469,0.5,0.9,0.567,0.4,0.5,0.9,0.4,0.4,0.2,0.3,0.5,1.4
Mark Sears,PG,7,3.7,0.9,1.9,0.462,0.6,1.1,0.5,0.3,0.7,0.4,0.615,0.9,1.1,0.75,0.1,0.1,0.3,0.3,0,0,0.6,0.6,3.1
Alex Antetokounmpo,SF,6,3.5,0.5,1.3,0.375,0.3,1.2,0.286,0.2,0.2,1,0.5,1.8,2.5,0.733,0.3,0.7,1,0.2,0,0.2,0.2,0.2,3.2
