Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Devin Booker,SG,64,33.5,8.5,18.7,0.456,1.9,5.8,0.33,6.6,12.9,0.512,0.507,7.1,8.1,0.873,0.8,3.1,3.9,6,0.8,0.3,3.1,2.6,26.1
Dillon Brooks,SF,56,30.4,7.4,17.1,0.435,2.3,6.6,0.344,5.2,10.5,0.492,0.501,3,3.6,0.842,0.8,2.9,3.6,1.8,1,0.2,1.8,3.3,20.2
Grayson Allen,SG,51,28.8,5.3,13.1,0.403,3.1,8.9,0.349,2.2,4.2,0.519,0.522,2.8,3.3,0.857,0.7,2.3,3,3.8,1.4,0.3,1.6,2.3,16.5
Collin Gillespie,PG,80,28.5,4.4,10.5,0.418,2.9,7.2,0.401,1.5,3.3,0.455,0.556,1,1.1,0.874,1.1,3,4.1,4.6,1.2,0.2,1.6,1.6,12.7
Royce O'Neale,SF,78,28.4,3.4,8,0.421,2.7,6.7,0.408,0.7,1.3,0.486,0.59,0.3,0.5,0.711,0.8,4,4.8,2.7,1.1,0.4,1.3,2.3,9.8
Jalen Green,SG,32,25.9,6.8,16,0.422,2.2,7.1,0.313,4.5,8.9,0.509,0.491,2,2.7,0.747,0.5,3.1,3.6,2.8,1.1,0.3,2.3,1.3,17.8
Mark Williams,C,60,23.6,4.7,7.3,0.644,0,0,1,4.7,7.3,0.643,0.645,2.3,2.9,0.771,3.1,4.9,8,1,0.9,0.9,1.1,2.2,11.7
Jordan Goodwin,PG,70,22.5,3.3,7.9,0.413,1.6,4.3,0.371,1.7,3.6,0.462,0.514,0.6,0.8,0.696,2,2.9,4.9,2.2,1.5,0.2,1,1.9,8.7
Oso Ighodaro,PF,82,22,2.9,4.5,0.653,0,0,0,2.9,4.5,0.655,0.653,0.6,1.4,0.453,1.7,3.4,5.1,2.3,0.9,0.7,1.2,2.7,6.5
Ryan Dunn,SF,70,19.4,2.3,5.2,0.453,0.8,2.4,0.331,1.5,2.8,0.56,0.53,0.3,0.7,0.489,1.4,2.8,4.2,1.5,0.9,0.4,0.8,1.9,5.8
Amir Coffey,SG,16,14.1,1.8,3.6,0.5,0.6,1.5,0.417,1.2,2.1,0.559,0.586,0.6,0.8,0.692,0.8,1.1,1.9,1,0.4,0.1,0.3,1,4.8
Jamaree Bouyea,PG,46,14,2.3,5.1,0.458,0.5,1.7,0.295,1.8,3.4,0.538,0.506,0.5,0.8,0.686,0.4,1.4,1.8,1.8,0.6,0.3,0.7,0.8,5.7
Haywood Highsmith,SF,7,13,1.7,3.3,0.522,1.1,2,0.571,0.6,1.3,0.444,0.696,0.9,1,0.857,0.9,1,1.9,1,0.6,0,0,1.3,5.4
Rasheer Fleming,PF,55,12.2,1.6,3.9,0.405,0.8,2.4,0.346,0.8,1.5,0.494,0.509,0.3,0.6,0.559,1,1.2,2.3,0.3,0.4,0.4,0.5,1.2,4.3
CJ Huntley,SF,4,10,1.5,2.8,0.545,0,0.8,0,1.5,2,0.75,0.545,0,0,,0.5,0.8,1.3,0.5,0.3,0,0,0.5,3
Isaiah Livers,PF,36,9.6,0.6,1.8,0.344,0.3,1.1,0.3,0.3,0.7,0.417,0.438,0.3,0.3,0.75,0.5,1.2,1.7,0.6,0.4,0.2,0.3,0.8,1.8
Nick Richards,C,28,9.1,1.3,2.5,0.493,0,0,,1.3,2.5,0.493,0.493,0.7,1,0.679,1.3,2,3.3,0.3,0.1,0.5,0.9,1.4,3.2
Khaman Maluach,C,46,8.9,1.2,2.3,0.533,0.1,0.5,0.238,1.1,1.8,0.607,0.557,0.5,0.7,0.71,1.1,1.8,2.9,0.1,0.1,0.7,0.5,0.9,3
Nigel Hayes-Davis,SF,27,7.2,0.6,1.7,0.326,0.1,0.6,0.125,0.5,1.1,0.433,0.348,0.1,0.1,0.5,0.4,0.8,1.2,0.3,0.3,0.1,0.3,0.6,1.3
Koby Brea,SG,12,7,1.3,3,0.417,1.1,2.5,0.433,0.2,0.5,0.333,0.597,0.2,0.2,1,0.1,0.6,0.7,0.8,0.1,0,0.3,0.5,3.8
