Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
James Harden,PG,44,35.4,7.3,17.5,0.419,3.1,8.8,0.347,4.3,8.7,0.492,0.506,7.7,8.5,0.901,0.6,4.2,4.8,8.1,1.3,0.4,3.7,1.9,25.4
Kawhi Leonard,SF,65,32.1,9.8,19.4,0.505,2.6,6.8,0.387,7.1,12.5,0.569,0.573,5.7,6.4,0.892,1.1,5.3,6.4,3.6,1.9,0.4,2,1.2,27.9
Ivica Zubac,C,43,30.9,6.1,10,0.613,0,0,,6.1,10,0.613,0.613,2.2,3.1,0.705,3.4,7.6,11,2.2,0.4,0.8,1.9,2.4,14.4
Darius Garland,PG,19,29.1,7.3,15.5,0.471,3.3,7.6,0.438,4,7.9,0.503,0.578,1.9,2.3,0.86,0.3,2,2.3,6.4,1.2,0.3,3,1.9,19.9
Bennedict Mathurin,SF,26,28,5.2,12.3,0.426,0.7,3.2,0.207,4.6,9.1,0.502,0.453,6.3,7.3,0.858,1.3,4.2,5.5,2.5,1,0.3,2.1,2.3,17.4
Kris Dunn,PG,82,27.2,2.8,5.8,0.476,1,2.6,0.374,1.8,3.2,0.559,0.56,0.8,1,0.765,0.7,2.6,3.3,3.6,1.6,0.2,1.4,2.3,7.3
John Collins,PF,69,27.1,5.3,9.6,0.552,1.3,3.2,0.406,4,6.4,0.625,0.62,1.7,2.2,0.766,1.6,3.7,5.3,1,0.9,0.7,1.4,2.7,13.6
Derrick Jones Jr.,SF,50,27,3.8,7.6,0.499,1.1,3.1,0.359,2.7,4.5,0.593,0.571,1.4,1.9,0.763,1.2,2.2,3.5,1.4,0.9,1,0.8,2.1,10.1
Jordan Miller,SF,60,22.1,3.5,6.7,0.531,0.6,1.8,0.345,2.9,4.8,0.602,0.579,2.3,2.9,0.777,0.8,2.2,3,2.3,0.8,0.2,1.1,1,10
Brook Lopez,C,75,21.8,3.1,7.2,0.428,1.5,4.2,0.36,1.6,3,0.524,0.533,0.7,1,0.757,0.6,3,3.6,1.3,0.6,1.2,0.8,2.1,8.5
Bradley Beal,SG,6,20.2,3,8,0.375,1.2,3.2,0.368,1.8,4.8,0.379,0.448,1,1.3,0.75,0.3,0.5,0.8,1.7,0.5,0,1.5,2.3,8.2
Kobe Sanders,SG,68,19.9,2.6,5.6,0.466,1.2,2.9,0.408,1.5,2.8,0.527,0.57,0.8,1,0.826,0.4,1.8,2.3,1.6,0.7,0.1,1.2,2.1,7.3
Bogdan Bogdanovic,SG,23,19.7,2.6,6.6,0.388,1.4,4.1,0.347,1.1,2.5,0.456,0.497,0.9,1.1,0.8,0.3,2.3,2.6,2.2,0.4,0.1,1.2,2,7.4
Nicolas Batum,PF,74,17.5,1.3,3.2,0.403,1.2,3.1,0.404,0.1,0.1,0.4,0.597,0.1,0.1,0.818,0.3,2.2,2.5,0.9,0.6,0.3,0.5,1.4,4
Isaiah Jackson,C,17,15.9,3.2,4.2,0.764,0,0.1,0,3.2,4.1,0.786,0.764,1,1.8,0.548,1.6,3.1,4.6,1.2,0.6,1.2,0.9,2.3,7.5
Chris Paul,PG,16,14.3,1.1,3.5,0.321,0.6,1.9,0.333,0.5,1.6,0.308,0.411,0.1,0.1,0.5,0.4,1.4,1.8,3.3,0.7,0,1,1.4,2.9
Yanic Konan Niederhauser,C,41,10.3,1.6,2.4,0.64,0,0.1,0.2,1.5,2.3,0.663,0.645,1.1,1.5,0.758,0.9,2,2.9,0.3,0.1,0.7,0.6,1.6,4.3
Cam Christie,SG,55,8.7,1,2.5,0.381,0.2,0.9,0.245,0.7,1.6,0.456,0.424,0.7,0.9,0.76,0.3,1.1,1.4,0.6,0.3,0.1,0.4,0.3,2.8
Kobe Brown,PF,34,8.7,1,2.5,0.393,0.4,1.4,0.265,0.6,1,0.571,0.47,0.6,0.8,0.808,0.5,1,1.6,0.8,0.3,0.1,0.4,0.5,2.9
Patrick Baldwin Jr.,SF,2,6,1.5,2,0.75,1,1.5,0.667,0.5,0.5,1,1,1,1,1,0,0.5,0.5,0,0,0,0.5,1,5
TyTy Washington Jr.,PG,16,5.5,0.6,1.2,0.474,0.2,0.5,0.375,0.4,0.7,0.545,0.553,0,0,,0.1,0.3,0.4,1.1,0.4,0.2,0.2,0.4,1.3
Dalano Banton,PG,2,5,1.5,2,0.75,0,0,,1.5,2,0.75,0.75,0,0,,0.5,0,0.5,1,0.5,0,0.5,0,3
Sean Pedulla,PG,7,4.4,0.7,2.1,0.333,0.4,1.4,0.3,0.3,0.7,0.4,0.433,0,0,,0,0.4,0.4,0.7,0,0,0.1,0.6,1.9
Norchad Omier,PF,6,4,1.2,1.7,0.7,0,0.2,0,1.2,1.5,0.778,0.7,0.5,0.5,1,0.7,0.5,1.2,0.3,0.2,0,0,0.7,2.8
RayJ Dennis,PG,1,4,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,0,0
Jahmyl Telfort,PF,8,4,0,0.5,0,0,0.5,0,0,0,,0,0.1,0.5,0.25,0,0.4,0.4,0.1,0.1,0,0.1,0.6,0.1
